t,iso,phase,available,used_mem,used_db,drift,drift_recoveries,acquires,releases
0.01,2026-06-30T19:57:44.641+00:00,A-baseline,2,0,0,False,0,0,0
0.42,2026-06-30T19:57:45.047+00:00,A-baseline,2,0,0,False,0,0,0
0.82,2026-06-30T19:57:45.453+00:00,A-baseline,2,0,0,False,0,0,0
1.23,2026-06-30T19:57:45.858+00:00,A-baseline,2,0,0,False,0,0,0
1.63,2026-06-30T19:57:46.264+00:00,A-baseline,2,0,0,False,0,0,0
2.04,2026-06-30T19:57:46.671+00:00,A-baseline,2,0,0,False,0,0,0
2.45,2026-06-30T19:57:47.077+00:00,A-baseline,2,0,0,False,0,0,0
2.85,2026-06-30T19:57:47.483+00:00,A-baseline,2,0,0,False,0,0,0
3.26,2026-06-30T19:57:47.889+00:00,A-baseline,2,0,0,False,0,0,0
3.66,2026-06-30T19:57:48.295+00:00,A-baseline,2,0,0,False,0,0,0
4.07,2026-06-30T19:57:48.701+00:00,B-missed-acquire,2,0,1,True,0,0,0
4.48,2026-06-30T19:57:49.107+00:00,B-missed-acquire,2,0,1,True,0,0,0
4.88,2026-06-30T19:57:49.513+00:00,B-missed-acquire,2,0,1,True,0,0,0
5.29,2026-06-30T19:57:49.919+00:00,B-missed-acquire,2,0,1,True,0,0,0
5.69,2026-06-30T19:57:50.324+00:00,B-missed-acquire,2,0,1,True,0,0,0
6.1,2026-06-30T19:57:50.730+00:00,B-missed-acquire,1,1,1,False,1,0,0
6.5,2026-06-30T19:57:51.136+00:00,B-missed-acquire,1,1,1,False,1,0,0
6.91,2026-06-30T19:57:51.542+00:00,B-missed-acquire,1,1,1,False,1,0,0
7.32,2026-06-30T19:57:51.947+00:00,B-missed-acquire,1,1,1,False,1,0,0
7.72,2026-06-30T19:57:52.353+00:00,B-missed-acquire,1,1,1,False,1,0,0
8.13,2026-06-30T19:57:52.758+00:00,B-missed-acquire,1,1,1,False,1,0,0
8.53,2026-06-30T19:57:53.164+00:00,B-missed-acquire,1,1,1,False,1,0,0
8.94,2026-06-30T19:57:53.569+00:00,B-missed-acquire,1,1,1,False,1,0,0
9.34,2026-06-30T19:57:53.975+00:00,B-missed-acquire,1,1,2,True,1,0,0
9.75,2026-06-30T19:57:54.381+00:00,B-missed-acquire,1,1,2,True,1,0,0
10.15,2026-06-30T19:57:54.786+00:00,B-missed-acquire,0,2,2,False,2,0,0
10.56,2026-06-30T19:57:55.192+00:00,B-missed-acquire,0,2,2,False,2,0,0
10.97,2026-06-30T19:57:55.597+00:00,B-missed-acquire,0,2,2,False,2,0,0
11.37,2026-06-30T19:57:56.002+00:00,B-missed-acquire,0,2,2,False,2,0,0
11.78,2026-06-30T19:57:56.408+00:00,B-missed-acquire,0,2,2,False,2,0,0
12.18,2026-06-30T19:57:56.814+00:00,B-missed-acquire,0,2,2,False,2,0,0
12.59,2026-06-30T19:57:57.223+00:00,B-missed-acquire,0,2,2,False,2,0,0
13.0,2026-06-30T19:57:57.629+00:00,B-missed-acquire,0,2,2,False,2,0,0
13.4,2026-06-30T19:57:58.034+00:00,B-missed-acquire,0,2,2,False,2,0,0
13.81,2026-06-30T19:57:58.440+00:00,B-missed-acquire,0,2,2,False,2,0,0
14.21,2026-06-30T19:57:58.846+00:00,C-dropped-notify,0,2,0,True,2,0,0
14.62,2026-06-30T19:57:59.251+00:00,C-dropped-notify,0,2,0,True,2,0,0
15.03,2026-06-30T19:57:59.657+00:00,C-dropped-notify,0,2,0,True,2,0,0
15.43,2026-06-30T19:58:00.062+00:00,C-dropped-notify,0,2,0,True,2,0,0
15.84,2026-06-30T19:58:00.467+00:00,C-dropped-notify,2,0,0,False,3,0,0
16.24,2026-06-30T19:58:00.873+00:00,C-dropped-notify,2,0,0,False,3,0,0
16.65,2026-06-30T19:58:01.278+00:00,C-dropped-notify,2,0,0,False,3,0,0
17.05,2026-06-30T19:58:01.683+00:00,C-dropped-notify,2,0,0,False,3,0,0
17.46,2026-06-30T19:58:02.089+00:00,C-dropped-notify,2,0,0,False,3,0,0
17.86,2026-06-30T19:58:02.493+00:00,C-dropped-notify,2,0,0,False,3,0,0
18.27,2026-06-30T19:58:02.898+00:00,C-dropped-notify,2,0,0,False,3,0,0
18.67,2026-06-30T19:58:03.303+00:00,C-dropped-notify,2,0,0,False,3,0,0
19.08,2026-06-30T19:58:03.708+00:00,C-dropped-notify,2,0,0,False,3,0,0
19.48,2026-06-30T19:58:04.115+00:00,D-settled,2,0,0,False,3,0,0
19.89,2026-06-30T19:58:04.520+00:00,D-settled,2,0,0,False,3,0,0
20.29,2026-06-30T19:58:04.926+00:00,D-settled,2,0,0,False,3,0,0
20.7,2026-06-30T19:58:05.331+00:00,D-settled,2,0,0,False,3,0,0
21.11,2026-06-30T19:58:05.737+00:00,D-settled,2,0,0,False,3,0,0
21.51,2026-06-30T19:58:06.142+00:00,D-settled,2,0,0,False,3,0,0
21.92,2026-06-30T19:58:06.549+00:00,D-settled,2,0,0,False,3,0,0
